Diversity,Location,Species
Wilson Hican,CS,Carya illinoinensis × C. laciniosa
86_TN_1_1.1,CS,Carya illinoinensis
MX94_052_3,CS,Carya illinoinensis
MX94_005_6,CS,Carya illinoinensis
MX94_303_5,CS,Carya illinoinensis
09_CAT_ZH_49,CS,Carya cathayensis
Underwood,CS,Carya illinoinensis × C. cordiformis
09_GLA_HH_3.1,CS,Carya glabra
Pearce,CS,Carya illinoinensis
Shepherd,CS,Carya illinoinensis
Peruque,CS,Carya illinoinensis
Schley,CS,Carya illinoinensis
Waco,CS,Carya illinoinensis
Brake,CS,Carya illinoinensis
Candy,CS,Carya illinoinensis
CES 24 (LAC),CS,Carya laciniosa
MX94_093_3,CS,Carya illinoinensis
MX94_329_9,CS,Carya illinoinensis
MX94_006_4,CS,Carya illinoinensis
MX94_326_1,CS,Carya illinoinensis
05_LAC_KY_2.6,CS,Carya laciniosa
07_MYR_LA_1,CS,Carya myristiciformis
09_GLA_B_3.5,CS,Carya glabra
Freeman,CS,Carya illinoinensis
Warren 346,CS,Carya illinoinensis
Davis,CS,Carya illinoinensis
Shawnee,CS,Carya illinoinensis
Navaho,CS,Carya illinoinensis
Supreme,CS,Carya illinoinensis
Russell,CS,Carya illinoinensis
92_TOM_LA_2G,CS,Carya tomentosa
87_MX_4_5.5,CS,Carya illinoinensis
02_COR_LA_BF_2,CS,Carya cordiformis
MX94_009_2,CS,Carya illinoinensis
MX94_239_4,CS,Carya illinoinensis
Porter,CS,Carya ovata
07_LAC_KS_1,CS,Carya laciniosa
2014_LAC_IA_W_3.10,CS,Carya laciniosa
Mandan,CS,Carya illinoinensis
Ideal_(Bradley),CS,Carya illinoinensis
Green Island Hackberry,CS,Carya illinoinensis
Major,CS,Carya illinoinensis
Kiowa,CS,Carya illinoinensis
Oconee,CS,Carya illinoinensis
A_93,CS,Carya illinoinensis
St H Giant,CS,Carya illinoinensis
92_MYR_TX_1G,CS,Carya myristiciformis
87_MX_5_1.7,CS,Carya illinoinensis
02_COR_LA_BF1,CS,Carya cordiformis
MX94_073_2,CS,Carya illinoinensis
MX94_122_2,CS,Carya illinoinensis
Seas (OVT),CS,Carya ovata
Yoder_1,CS,Carya ovata
92_AQU_TX_2.1,CS,Carya aquatica
Evers_Sample1,CS,Carya illinoinensis
Oklahoma,CS,Carya illinoinensis
Niblack,CS,Carya illinoinensis
Canton,CS,Carya illinoinensis
Osage,CS,Carya illinoinensis
Lipan,CS,Carya illinoinensis
Risien 1,CS,Carya illinoinensis
Bradley (FL),CS,Carya illinoinensis
Centennial,CS,Carya illinoinensis
94_ILL_ELK_2.2,CS,Carya illinoinensis
87_MX_2_1.1,CS,Carya illinoinensis
MX94_295_3,CS,Carya illinoinensis
MX94_128_6,CS,Carya illinoinensis
Simpson_1,CS,Carya laciniosa
08_MYR_AL_1.5,CS,Carya myristiciformis
07_TEX_KS_1,CS,Carya texana
Clark,CS,Carya illinoinensis
Nugget,CS,Carya illinoinensis
Carden,CS,Carya illinoinensis
Oliver,CS,Carya illinoinensis
Shoshoni,CS,Carya illinoinensis
Apalachee,CS,Carya illinoinensis
Giles,CS,Carya illinoinensis
Johnson,CS,Carya illinoinensis
Elliott,CS,Carya illinoinensis
94_ILL_STF_4.5,CS,Carya illinoinensis
02_AQU_LA_BL1,CS,Carya aquatica
MX94_102_2,CS,Carya illinoinensis
MX94_296_2,CS,Carya illinoinensis
09_FLA_OC_1.4,CS,Carya floridana
10_TEX_WmPenn_4,CS,Carya texana
01_GLA_LA_3.5,CS,Carya glabra
Burkett,CS,Carya illinoinensis
Longfellow,CS,Carya illinoinensis
Limpia Creek,CS,Carya illinoinensis
Desirable,CS,Carya illinoinensis
Caddo,CS,Carya illinoinensis
Kanza,CS,Carya illinoinensis
NC_4,CS,Carya illinoinensis
Halbert,CS,Carya illinoinensis
Moore,CS,Carya illinoinensis
97_ILL_LA_WB1.14,CS,Carya illinoinensis
Snaps,CS,Carya illinoinensis
MX94_066_7,CS,Carya illinoinensis
MX94_117_7,CS,Carya illinoinensis
WS_5,CS,Carya illinoinensis
Jones Hybrid,CS,Carya cordiformis × C. ovata
10_TEX_WC_3,CS,Carya texana
Carmichael,CS,Carya illinoinensis
McCulley,CS,Carya illinoinensis
Dumbell Lake Small,CS,Carya illinoinensis
Altman,CS,Carya illinoinensis
Mohawk,CS,Carya illinoinensis
Creek,CS,Carya illinoinensis
Excel,CS,Carya illinoinensis
Curtis,CS,Carya illinoinensis
SanFelipe,CS,Carya illinoinensis
94_ILL_ARK_4.6,CS,Carya illinoinensis
Duck Creek 16,CS,Carya illinoinensis
MX94_031_1,CS,Carya illinoinensis
MX94_240_6,CS,Carya illinoinensis
MX94_336_3,CS,Carya illinoinensis
Abbott Thinshell,CS,Carya illinoinensis × C. cordiformis
Lindauer,CS,Carya laciniosa
Evers_Sample2,CS,Carya illinoinensis
Goose Pond,CS,Carya illinoinensis
Success,CS,Carya illinoinensis
Barton,CS,Carya illinoinensis
Sioux,CS,Carya illinoinensis
Riverside,CS,Carya illinoinensis
Bryce,CS,Carya illinoinensis
Gloria Grande,CS,Carya illinoinensis
Colby,CS,Carya illinoinensis
Ring,CS,Carya palmeri
TN Big Tree,CS,Carya illinoinensis
89_ILL_ALA_4.1,CS,Carya illinoinensis
MX94_324_3,CS,Carya illinoinensis
MX94_116_5,CS,Carya illinoinensis
90_XLC_MS_1,CS,Carya illinoinensis × C. aquatica
09_FLA_IJW_5.8,CS,Carya floridana
Ripe Early,CS,Carya illinoinensis
Kibler,CS,Carya illinoinensis
Fairbanks,CS,Carya cordiformis × C. ovata
Mahan,CS,Carya illinoinensis
Choctaw,CS,Carya illinoinensis
Witte (IA),CS,Carya illinoinensis
Podsednik,CS,Carya illinoinensis
VC1_68,CS,Carya illinoinensis
Tiny Tim,CS,Carya illinoinensis
EW 7_25(XLC),CS,Carya illinoinensis × C. aquatica
87_MX_1_1.6,CS,Carya illinoinensis
MX94_003_4,CS,Carya illinoinensis
MX94_115_5,CS,Carya illinoinensis
07_TEX_TX_1,CS,Carya texana
09-FLA-HH-3.7,CS,Carya floridana
San Saba,CS,Carya illinoinensis
Shag,CS,Carya illinoinensis
Allbritton,CS,Carya illinoinensis
Stuart,CS,Carya illinoinensis
Hopi,CS,Carya illinoinensis
Cherokee,CS,Carya illinoinensis
NC_2B,CS,Carya illinoinensis
Western,CS,Carya illinoinensis
Mullahy,CS,Carya illinoinensis
Pleas,CS,Carya illinoinensis × C. cordiformis
La Bahia,CS,Carya illinoinensis
89_ILL_SBRA_4.4,CS,Carya illinoinensis
MX94_030_6,CS,Carya illinoinensis
MX94_054_8,CS,Carya illinoinensis
08_TOM_AR_1.1,CS,Carya tomentosa
09_FLA_ABS_2.4,CS,Carya floridana
Wichita,CS,Carya illinoinensis
Dooley,CS,Carya illinoinensis
Odom,CS,Carya illinoinensis
Point Coupe _2,CS,Carya illinoinensis
Baker,CS,Carya illinoinensis
Jersey,CS,Carya illinoinensis
Kernoodle,CS,Carya illinoinensis
Cape Fear,CS,Carya illinoinensis
Wallops Island,CS,Carya illinoinensis
McCallister,CS,Carya illinoinensis × C. laciniosa
02_AQU_LA_CL2,CS,Carya aquatica
89_ILL_HAYES_1.1,CS,Carya illinoinensis
MX94_259_1,CS,Carya illinoinensis
MX94_069_3,CS,Carya illinoinensis
Tissue Paper,CS,Carya illinoinensis
Edisto,CS,Carya illinoinensis
Chief,CS,Carya illinoinensis
Owens,CS,Carya illinoinensis
Houma,CS,Carya illinoinensis
Forkert,CS,Carya illinoinensis
